t,simElapsedSec,round,fpsAvg,fpsMin,fpsMax,frameMsAvg,frameMsMax,frameCount,cpu.simMsAvg,cpu.syncMsAvg,cpu.renderMsAvg,gpuMsAvg,renderer.calls,renderer.triangles,renderer.lines,renderer.points,renderer.geometries,renderer.textures,renderer.programs,scene.totalObjects,scene.visibleMeshes,scene.hiddenMeshes,scene.lights,scene.shadowCastingLights,game.viewedPlayer,game.viewedCreeps,game.viewedTowers,game.allArenasCreeps,game.allArenasTowers,game.humanoidAnimating,game.lightningArcsActive,game.poisonBubblesActive,memory.usedMB,memory.totalMB,memory.limitMB
707.3088999999985,1622,55,4,4,4,250,250,4,0.75,7.349999999627471,82.125,,7500,299398,0,0,152022,2012,14,78948,64317,5073,3,1,4,0,317,0,1585,0,0,0,930.505862236023,977.0594930648804,4192
708.5708999999985,1623.2,55,4,4,4,250,250,3,4.166666666666667,36.83333333581686,92.7333333293597,,7601,302066,0,0,152794,2016,14,79518,64883,5045,3,1,4,2,317,16,1585,0,0,37,948.7813863754272,1001.3535299301147,4192
709.594700000003,1624.4,55,4,4,4,250,250,3,2.966666668653488,14.666666666666666,83.16666666666667,,7521,300616,0,0,152799,2021,14,79212,64525,5065,3,1,4,7,317,32,1585,0,0,43,958.6852369308472,1008.6039876937866,4192
710.5458999999985,1625.6,55,4,4,4,250,250,3,1.999999997516473,12.333333333333334,80.09999999900658,,7527,300848,0,0,152809,2026,14,79268,64553,5073,3,1,4,9,317,42,1585,0,0,49,955.910792350769,1012.4485387802124,4192
711.475700000003,1626.8,55,4,4,4,250,250,3,2.2333333318432174,11.566666670143604,82.13333333283663,,7536,301254,0,0,152817,2030,14,79268,64553,5073,3,1,4,12,317,42,1585,0,0,87,947.3043622970581,1014.3812780380249,4192
712.4115,1628,55,4,4,4,250,250,3,2.3333333308498063,11.799999999503294,81.66666666666667,,7542,301486,0,0,152827,2035,14,79281,64562,5071,3,1,4,14,317,45,1585,0,0,57,970.9536352157593,1014.7034292221069,4192
713.3558000000045,1629.6,55,4,4,4,250,250,4,1.8999999985098839,13.800000000745058,81.65000000037253,,7659,304792,0,0,153031,2042,14,79350,64619,5065,3,1,4,15,317,54,1585,0,0,26,950.2428960800171,1018.1074514389038,4192
714.6033000000044,1630.8,55,4,4,4,250,250,3,1.8999999985098839,11.43333333482345,81.33333333333333,,7557,302588,0,0,153035,2047,14,79289,64568,5073,3,1,4,19,317,45,1585,0,0,28,973.0832166671753,1018.4588766098022,4192
715.5278000000045,1632,55,4,4,4,250,250,3,2.66666666418314,10.900000003476938,80.96666666616996,,7554,302298,0,0,153045,2052,14,79205,64508,5073,3,1,4,18,317,33,1585,0,0,16,964.2442235946655,1021.1415243148804,4192
716.4528000000045,1633.2,55,4,4,4,250,250,3,1.4666666686534882,11.533333331346512,82.06666666766007,,7536,301254,0,0,153122,2056,14,79243,64538,5073,3,1,4,12,317,37,1585,0,0,12,957.2039556503296,1022.1227025985718,4192
717.3778999999985,1634.8,55,4,4,4,250,250,4,1.424999998882413,9.825000002980232,80.67499999701977,,7536,301138,0,0,153136,2063,14,79154,64470,5072,3,1,4,12,317,27,1585,0,0,20,980.9192495346069,1022.2861547470093,4192
718.604200000003,1636,55,4,4,4,250,250,3,1.5333333363135655,8.999999997516474,81.10000000149012,,7503,299456,0,0,153142,2066,14,79002,64363,5073,3,1,4,1,317,4,1585,0,0,11,967.9456129074097,1024.412787437439,4192
719.5533999999985,1637.2,55,4,4,4,250,250,3,0.8666666646798452,8.699999998013178,97.36666666716337,,7804,312848,0,0,155552,2068,14,78991,64358,5073,3,1,5,1,317,1,1585,0,0,3,962.3441648483276,1025.3255681991577,4192
720.5311000000015,1638.4,55,4,4,4,250,250,3,0.7666666656732559,7.533333333830039,84.63333333283663,,7798,312754,0,0,155552,2068,14,78964,64333,5073,3,1,5,0,317,0,1585,0,0,0,979.4273023605347,1025.3324346542358,4192
721.4666000000014,1639.6,55,4,4,4,250,250,3,0.8333333358168602,7.766666663189729,84.06666666766007,,7804,312848,0,0,155557,2069,14,79006,64363,5073,3,1,5,1,317,6,1585,0,0,12,967.8283605575562,1030.1086645126343,4192
722.4077000000029,1640.8,55,4,4,4,250,250,3,1.0333333338300388,7.400000000993411,82.36666666716337,,7798,312754,0,0,155559,2070,14,78964,64333,5073,3,1,5,0,317,0,1585,0,0,0,983.8030652999878,1030.117407798767,4192
723.3483999999985,1642.4,55,4,4,4,250,250,4,1.025000000372529,8.074999999254942,83.875,,7807,312906,0,0,155581,2075,14,78978,64343,5073,3,1,5,2,317,2,1585,0,0,4,973.230715751648,1031.4329824447632,4192
724.6098999999986,1643.6,55,4,4,4,250,250,3,0.9333333348234495,7.566666662693024,84.7999999995033,,7807,312906,0,0,155593,2078,14,78992,64353,5073,3,1,5,2,317,4,1585,0,0,10,989.5753812789917,1031.4548406600952,4192
725.5565,1644.8,55,4,4,4,250,250,3,0.7999999995032946,7.766666665673256,84.46666666616996,,7798,312754,0,0,155595,2079,14,78964,64333,5073,3,1,5,0,317,0,1585,0,0,0,972.592188835144,1031.9723272323608,4192
726.4965,1646,55,4,4,4,250,250,3,0.6666666691501936,7.266666665673256,83,,7798,312754,0,0,155595,2079,14,78964,64333,5073,3,1,5,0,317,0,1585,0,0,0,988.3157835006714,1031.9723272323608,4192
727.4362000000029,1647.2,55,4,4,4,250,250,3,0.9999999975164732,7.533333333830039,82.70000000298023,,7798,312754,0,0,155595,2079,14,78964,64333,5073,3,1,5,0,317,0,1585,0,0,0,970.6702604293823,1031.9723272323608,4192
728.372700000003,1648.8,55,4,4,4,250,250,4,0.7749999985098839,7.275000000372529,82.60000000149012,,7798,312754,0,0,155597,2080,14,78964,64333,5073,3,1,5,0,317,0,1585,0,0,0,989.2226514816284,1031.9766988754272,4192
729.6205,1650,55,4,4,4,250,250,3,1.266666663189729,7.166666669150193,82.49999999751647,,7798,312754,0,0,155597,2080,14,78964,64333,5073,3,1,5,0,317,0,1585,0,0,0,971.3307981491089,1031.9766988754272,4192
730.5593999999985,1651.2,55,4,4,4,250,250,3,0.8333333333333334,7.333333333333333,83.96666666368644,,7798,312754,0,0,155597,2080,14,78964,64333,5073,3,1,5,0,317,0,1585,0,0,0,985.201376914978,1031.9766988754272,4192
731.4991000000015,1652.4,56,4,4,4,250,250,3,0.9333333298563957,10.133333335320154,82.03333333134651,,7804,312964,0,0,155602,2081,14,79027,64395,5066,3,1,5,1,317,4,1585,0,0,19,975.3985090255737,1032.7297430038452,4192
732.4818000000045,1653.6,56,4,4,4,250,250,3,1.8333333333333333,23.700000000496704,91.56666666517656,,7925,317214,0,0,156114,2086,14,79336,64649,5065,3,1,5,6,317,32,1585,0,0,65,987.6241292953491,1042.7988195419312,4192
733.477700000003,1654.8,56,4,4,4,250,250,3,3.866666667163372,12.766666665673256,91.66666666666667,,7935,318682,0,0,157686,2099,14,79480,64752,5072,3,1,1,10,317,49,1585,0,0,95,991.4737005233765,1046.8870687484741,4192
734.4702000000029,1656,56,4,4,4,250,250,3,3.0666666651765504,11.09999999900659,84.73333333432674,,7938,318834,0,0,157695,2102,14,79480,64745,5073,3,1,1,10,317,52,1585,0,0,103,988.5999326705933,1049.2696523666382,4192
