t,simElapsedSec,round,fpsAvg,fpsMin,fpsMax,frameMsAvg,frameMsMax,frameCount,simDtMsAvg,cpu.simMsAvg,cpu.syncMsAvg,cpu.renderMsAvg,gpuMsAvg,renderer.calls,renderer.triangles,renderer.lines,renderer.points,renderer.geometries,renderer.textures,renderer.programs,scene.totalObjects,scene.visibleMeshes,scene.hiddenMeshes,scene.lights,scene.shadowCastingLights,game.viewedPlayer,game.viewedCreeps,game.viewedTowers,game.allArenasCreeps,game.allArenasTowers,game.humanoidAnimating,game.lightningArcsActive,game.poisonBubblesActive,memory.usedMB,memory.totalMB,memory.limitMB
33.08069999999553,107.15,4,14.933984085707028,12.004801920767887,20,67.77333333333372,83.30000000000291,15,67.77333333333372,0.15333333512147268,1.5533333311478297,8.820000000794728,,871,92304,0,0,789,22,14,3318,2602,193,3,1,2,20,10,87,61,71,0,6,40.04942607879639,97.41562557220459,4192
34.08729999999702,111.15,4,15.000007503755628,14.992503748124955,15.015015015015344,66.66666666666667,66.70000000000437,15,66.66666666666667,0.1266666680574417,1.646666665871938,8.913333332538604,,883,92806,0,0,789,28,14,3333,2602,196,3,1,2,26,10,101,62,92,0,13,57.16863536834717,97.76823711395264,4192
35.09669999999553,115.15,4,15.00000750375563,14.992503748124955,15.015015015015344,66.66666666666667,66.70000000000437,15,66.66666666666667,0.10666666726271311,1.3666666651765504,8.853333334128061,,851,89634,0,0,789,21,14,3202,2513,197,3,1,2,19,10,72,62,78,0,3,41.25755596160889,98.52431011199951,4192
36.09629999999702,119.25,4,14.801368516597261,11.990407673860702,15.015015015015344,67.77333333333324,83.40000000000146,15,67.77333333333324,0.1466666673620542,1.4533333321412405,8.806666667262713,,855,92052,0,0,789,23,14,3251,2548,200,3,1,2,21,10,77,63,82,0,0,57.664870262145996,98.61517238616943,4192
37.11239999999851,123.1,5,14.571097645621418,11.990407673860702,15.015015015015344,69.0499999999998,83.40000000000146,14,69.0499999999998,0.14285714338932717,1.957142856504236,9.228571429316487,,917,96580,0,0,981,41,14,3697,2927,211,3,1,3,21,13,77,69,66,0,0,49.63028621673584,100.36415767669678,4192
38.083,127.3,5,14.40042755926305,12.004801920767887,15.015015015015344,69.99333333333342,83.30000000000291,15,69.99333333333342,0.1599999999006589,2.6533333331346514,9.219999999801319,,913,98322,0,0,978,35,14,3726,2907,229,3,1,3,23,13,93,72,79,0,3,47.5162935256958,97.9827013015747,4192
39.13109999999404,131.1,5,14.785547543859165,12.004801920767887,15.037593984962406,67.85714285714286,83.30000000000291,14,67.85714285714286,0.16428571513720922,1.7142857126891613,9.021428572812251,,909,91204,0,0,978,30,14,3833,3001,238,3,1,3,21,13,81,75,74,0,2,31.81681251525879,98.91570091247559,4192
40.08069999999553,135.15,5,14.801368516597261,11.990407673860702,15.015015015015344,67.77333333333324,83.40000000000146,15,67.77333333333324,0.12000000129143397,1.5466666658719381,9.13999999910593,,914,93516,0,0,978,31,14,3799,2962,239,3,1,3,24,13,90,75,85,0,0,47.34396171569824,98.85313987731934,4192
41.09659999999404,139.3,5,14.59962567442461,12.004801920767887,15.037593984962406,68.88666666666686,83.30000000000291,15,68.88666666666686,0.14000000009934108,1.733333332836628,9.153333333631357,,908,97868,0,0,978,27,14,3826,2991,245,3,1,3,22,13,77,77,81,0,0,33.440412521362305,98.9567699432373,4192
42.129,143.15,5,14.571543676298418,12.004801920767887,15.015015015015344,69.04285714285705,83.30000000000291,14,69.04285714285705,0.18571428741727555,1.5142857134342194,8.992857142750706,,892,97810,0,0,978,26,14,3857,3014,248,3,1,3,21,13,78,78,81,0,0,46.52593421936035,98.91262245178223,4192
